Product_id,customer_id,shipping_id,inventory_id,Quantity,UnitPrice,TotalPrice,PaymentType,Profit,Discount,Tax,TaxAmount,FinalPrice,PaymentStatus,Date
1,1,1,1,5,250.88,1254.4,PayPal,228.1000000000001,0.02,0.07,87.81,1317.122,Failed,2021-01-01
2,2,2,2,8,250.88,2007.04,Bank Transfer,364.96,0.13,0.07,140.49,1886.6148,Processed,2021-01-01
3,3,3,3,1,250.88,250.88,Bank Transfer,45.620000000000005,0.02,0.07,17.56,263.4224,Pending,2021-01-02
4,4,4,4,1,250.88,250.88,Bank Transfer,45.620000000000005,0.14,0.07,17.56,233.3168,unknown,2021-01-02
5,5,5,5,9,250.88,2257.92,PayPal,410.58000000000015,0.07,0.07,158.05,2257.9156000000003,Failed,2021-01-04
6,6,6,6,9,250.88,2257.92,Debit Card,410.58000000000015,0.0,0.07,158.05,2415.9700000000003,Processed,2021-01-05
7,7,7,7,4,250.88,1003.52,Bank Transfer,182.48,0.24,0.07,70.25,832.9252,Processed,2021-01-06
8,8,8,8,2,250.88,501.76,Debit Card,91.24,0.29,0.07,35.12,391.3696,Failed,2021-01-08
9,9,9,9,9,250.88,2257.92,Credit Card,410.58000000000015,0.29,0.07,158.05,1761.1732000000002,Processed,2021-01-09
10,10,10,10,4,250.88,1003.52,Debit Card,182.48,0.09,0.07,70.25,983.4532,Processed,2021-01-10
11,11,11,11,6,250.88,1505.28,Debit Card,273.72,0.25,0.07,105.37,1234.3300000000002,Failed,2021-01-10
12,12,12,12,1,250.88,250.88,Debit Card,45.620000000000005,0.2,0.07,17.56,218.264,Processed,2021-01-12
13,13,13,13,9,250.88,2257.92,Debit Card,410.58000000000015,0.24,0.07,158.05,1874.0692000000004,Failed,2021-01-14
14,14,14,14,5,250.88,1254.4,Debit Card,228.1000000000001,0.25,0.07,87.81,1028.61,Processed,2021-01-15
15,15,15,15,3,250.88,752.64,Credit Card,136.86,0.29,0.07,52.68,587.0544,Failed,2021-01-17
16,16,16,16,4,250.88,1003.52,Credit Card,182.48,0.05,0.07,70.25,1023.594,Pending,2021-01-18
17,17,17,17,1,250.88,250.88,Debit Card,45.620000000000005,0.23,0.07,17.56,210.7376,Processed,2021-01-20
18,18,18,18,9,250.88,2257.92,Debit Card,410.58000000000015,0.22,0.07,158.05,1919.2276,Processed,2021-01-21
19,19,19,19,8,250.88,2007.04,Bank Transfer,364.96,0.09,0.07,140.49,1966.8964,Processed,2021-01-22
20,20,20,20,4,250.88,1003.52,Credit Card,182.48,0.12,0.07,70.25,953.3476,unknown,2021-01-23
21,21,21,21,2,250.88,501.76,PayPal,91.24,0.05,0.07,35.12,511.792,Processed,2021-01-25
22,22,22,22,9,250.88,2257.92,Credit Card,410.58000000000015,0.27,0.07,158.05,1806.3316,Failed,2021-01-27
23,23,23,23,4,250.88,1003.52,PayPal,182.48,0.26,0.07,70.25,812.8548,Processed,2021-01-28
24,24,24,24,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.18,0.07,158.05,2009.5444,Failed,2021-01-28
25,25,25,25,3,250.88,752.64,Debit Card,136.86,0.15,0.07,52.68,692.424,Pending,2021-01-29
26,26,26,26,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.07,0.07,122.93,1756.1588,Pending,2021-02-03
27,27,27,27,7,250.88,1756.16,Debit Card,319.3399999999999,0.24,0.07,122.93,1457.6116,Failed,2021-02-03
28,28,28,28,4,250.88,1003.52,Credit Card,182.48,0.0,0.07,70.25,1073.77,Pending,2021-02-04
29,29,29,29,2,250.88,501.76,Debit Card,91.24,0.14,0.07,35.12,466.6336,Failed,2021-02-04
30,30,30,30,9,250.88,2257.92,PayPal,410.58000000000015,0.26,0.07,158.05,1828.9108,Processed,2021-02-05
31,31,31,31,4,250.88,1003.52,PayPal,182.48,0.19,0.07,70.25,883.1012,Failed,2021-02-06
32,32,32,32,8,250.88,2007.04,Bank Transfer,364.96,0.19,0.07,140.49,1766.1923999999997,Pending,2021-02-07
33,33,33,33,2,250.88,501.76,Credit Card,91.24,0.02,0.07,35.12,526.8448,unknown,2021-02-08
